Thời gian,Tiêu đề,URL,Nội dung
2025-09-19 00:00:00,SAB: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 14,https://cafef.vn/du-lieu/SAB-2301547/sab-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-14.chn,
2025-09-04 00:00:00,SAB: Nghị quyết HĐQT thông qua giao dịch với SATRACO và SBCO,https://cafef.vn/du-lieu/SAB-2290811/sab-nghi-quyet-hdqt-thong-qua-giao-dich-voi-satraco-va-sbco.chn,
2025-09-03 09:46:00,SAB: Giải trình biến động KQKD 6 tháng đầu năm 2025 đã soát xét so với cùng kỳ năm trước,https://cafef.vn/du-lieu/SAB-2286801/sab-giai-trinh-bien-dong-kqkd-6-thang-dau-nam-2025-da-soat-xet-so-voi-cung-ky-nam-truoc.chn,
2025-09-03 09:44:00,SAB: CBTT gia hạn các khoản vay nội bộ của CTCP Nước giải khát Chương Dương với SABECO,https://cafef.vn/du-lieu/SAB-2286800/sab-cbtt-gia-han-cac-khoan-vay-noi-bo-cua-ctcp-nuoc-giai-khat-chuong-duong-voi-sabeco.chn,
2025-08-31 13:39:00,Cuộc đua lợi nhuận giữa hai “ông lớn” ngành bia Sabeco và Habeco,https://cafef.vn/cuoc-dua-loi-nhuan-giua-hai-ong-lon-nganh-bia-sabeco-va-habeco-188250831133928612.chn,"Hai “ông lớn” Sabeco và Habeco vừa khép lại quý II/2025 với kết quả kinh doanh nhiều điểm khác biệt. Cuộc đua lợi nhuận giữa hai doanh nghiệp có sự phân hóa khi Sabeco hụt hơi, còn Habeco nỗ lực cải thiện hiệu quả kinh doanh.
Sabeco báo lãi ròng ‘sụt giảm’
Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn (Sabeco, MCK: SAB, sàn HoSE) vừa công bố báo cáo tài chính hợp nhất quý II/2025 với tình hình kinh doanh có dấu hiệu sụt giảm.
Theo đó, kết quý II/2025, Sabeco mang về doanh thu thuần hơn 6.804,3 tỷ đồng giảm 15,9% so với cùng kỳ năm ngoái. Trừ đi giá vốn, lợi nhuận gộp đạt gần 2.448,1 tỷ đồng, tăng nhẹ 7,7 tỷ đồng.
Trong kỳ, Sabeco còn ghi nhận hơn 255,2 tỷ đồng doanh thu từ hoạt động tài chính, giảm 4,2% so với cùng kỳ năm ngoái. Ở chiều ngược lại, chi phí tài chính tăng 84,1%, lên mức hơn 15,1 tỷ đồng; chi phí bán hàng ở mức hơn 916,4 tỷ đồng, tăng 14,1 tỷ đồng; chi phí quản lý doanh nghiệp tăng từ gần 176,5 tỷ đồng lên gần 239,3 tỷ đồng.
Ảnh minh họa
Sau khấu trừ các khoản thuế phí, doanh nghiệp báo lãi ròng gần 1.250,7 tỷ đồng, giảm 5,2% so với cùng kỳ năm ngoái.
Theo giải trình của Sabeco, doanh thu thuần thấp hơn cùng kỳ phù hợp với sự sụt giảm sản lượng và tác động hợp nhất từ việc mua lại Tập đoàn Bia Bình Tây (trở thành công ty con thay vì là công ty liên kết như trong năm 2024).
Ngoài ra, kết quả kinh doanh cũng chịu ảnh hưởng từ việc thu nhập lãi tiền gửi giảm và chi phí tài chính tăng, cùng với chi phí bán hàng và chi phí quản lý doanh nghiệp tăng, mặc dù được bù đắp một phần bởi lợi nhuận từ các công ty liên doanh liên kết cao hơn.
Lũy kế 6 tháng đầu năm 2024, Sabeco mang về doanh thu thuần gần 12.615,1 tỷ đồng, giảm 17,4% so với 6 tháng đầu năm 2024. Trong đó, doanh thu bán bia ghi nhận gần 11.825 tỷ đồng, giảm 12,1% và chiếm 93,7% tổng doanh thu; doanh thu bán nguyên vật liệu đạt gần 753,1 tỷ đồng, giảm 56,8% và chiếm 6% tổng doanh thu.
Kết quả, lợi nhuận sau thuế thu nhập doanh nghiệp sau 6 tháng đầu năm 2025 đạt hơn 2.050,3 tỷ đồng, giảm 12,5% so với cùng kỳ năm ngoái.
Năm 2025, Sabeco lên kế hoạch kinh doanh với doanh thu thuần dự kiến đạt 31.641 tỷ đồng, giảm 1% so với doanh thu đã thực hiện trong năm 2024; lợi nhuận sau thuế ước đạt 4.835 tỷ đồng, tăng 8%.
Như vậy, kết thúc 2 quý đầu năm, doanh nghiệp đã thực hiện được 39,9% kế hoạch doanh thu và 42,4% kế hoạch lợi nhuận sau thuế đã đề ra.
Tính đến ngày 30/6/2025, tổng tài sản của Sabeco giảm nhẹ 242,6 tỷ đồng so với đầu năm, xuống còn gần 33.196,8 tỷ đồng. Trong đó, các khoản tiền gửi ngân hàng ghi nhận hơn 22.391 tỷ đồng, chiếm 67,5% tổng tài sản.
Bên kia bảng cân đối kế toán, tổng nợ phải trả đang ở mức hơn 10.322,4 tỷ đồng, tăng 14,7% so với đầu năm. Trong đó, thuế phải nộp nhà nước ghi nhận hơn 2.109,4 tỷ đồng, chiếm 20,4% tổng nợ; cổ tức phải trả gần 3.913 tỷ đồng, chiếm 37,9% tổng nợ.
Habeco giữ đà tăng trưởng doanh thu
Theo báo cáo tài chính hợp nhất quý II/2025, Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội (Habeco, MCK: BHN, sàn HoSE) mang về doanh thu thuần hơn 2.355,7 tỷ đồng, tăng nhẹ 50 tỷ đồng so với cùng kỳ năm ngoái. Trừ đi giá vốn, lợi nhuận gộp đạt hơn 694,5 tỷ đồng, tăng 7,9%.
Ngoài ra, Habeco còn mang về hơn 54,5 tỷ đồng doanh thu từ hoạt động tài chính, tăng 37,6% so với cùng kỳ. Cùng chiều, chi phí tài chính tăng từ 2,1 tỷ đồng lên 3,6 tỷ đồng; chi phí bán hàng tăng 19%, lên mức gần 404,4 tỷ đồng; chi phí quản lý doanh nghiệp ở mức 162,1 tỷ đồng, tăng 25,1%.
Kết quả, sau khấu trừ các khoản thuế phí, Habeco báo lãi ròng gần 159,6 tỷ đồng, giảm 7,2% so với cùng kỳ năm ngoái.
Ảnh minh họa
Lũy kế 6 tháng đầu năm 2025, Habeco mang về doanh thu thuần gần 3.813,8 tỷ đồng, tăng 5,5% so với 6 tháng đầu năm 2024; lợi nhuận sau thuế thu nhập doanh nghiệp đạt hơn 180,2 tỷ đồng, tăng 19,3%.
Tính đến ngày 30/6/2025, tổng tài sản của doanh nghiệp tăng từ 7.259,2 tỷ đồng lên gần 7.714,9 tỷ đồng. Trong đó, tiền gửi tại ngân hàng ghi nhận hơn 4.823,6 tỷ đồng, chiếm 62,5% tổng tài sản.
Cũng tại thời điểm cuối tháng 6/2025, tổng nợ phải trả của Habeco đang ở mức hơn 2.622,3 tỷ đồng, tăng 31,6% so với đầu năm. Trong đó, thuế và các khoản phải nộp Nhà nước hơn 628,1 tỷ đồng, chiếm 24% tổng nợ; khoản phải trả ngắn hạn khác gần 628,3 tỷ đồng, cũng chiếm 24% tổng nợ."
2025-08-29 18:10:00,SAB: Giải trình BCTC Riêng soát xét bán niên năm 2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/SAB-2285327/sab-giai-trinh-bctc-rieng-soat-xet-ban-nien-nam-2025-so-voi-cung-ky-nam-truoc.chn,
2025-08-25 08:08:00,"Công bố 200 doanh nghiệp nộp ngân sách lớn nhất Việt Nam: Tổng nộp 794.000 tỷ đồng, Vingroup thu hẹp khoảng cách với vị trí số 1 của PetroVietnam",https://cafef.vn/cong-bo-200-doanh-nghiep-nop-ngan-sach-lon-nhat-viet-nam-tong-nop-794000-ty-dong-vingroup-thu-hep-khoang-cach-voi-vi-tri-so-1-cua-petrovietnam-188250824225436112.chn,"Nối tiếp danh sách PRIVATE 100 được công bố cách đây một tuần, CafeF tiếp tục công bố danh sách VNTAX 200 – Top 200 doanh nghiệp nộp ngân sách lớn nhất Việt Nam năm 2025 (dựa trên số thực nộp của năm 2024).
Đây là năm thứ 2 danh sách được xây dựng, sau lần đầu tiên được công bố cách đây 1 năm. PRIVATE 100 cùng với VNTAX 200 nằm trong hệ thống vinh danh CafeF Lists, tôn vinh các doanh nghiệp có đóng góp ngân sách lớn nhất cho Việt Nam, ghi nhận vai trò quan trọng của các doanh nghiệp này trong công cuộc phát triển kinh tế và tinh thần phụng sự xã hội.
Trong đó, PRIVATE 100 là danh sách vinh danh riêng cho khối doanh nghiệp tư nhân với mức nộp ngân sách từ 100 tỷ đồng trở lên còn VNTAX 200 là danh sách quy tụ tất cả các doanh nghiệp có mức nộp ngân sách trong năm tài chính từ 200 tỷ đồng trở lên (bao gồm cả các doanh nghiệp nhà nước, tư nhân, FDI, liên doanh).
Với tổng cộng hàng trăm nghìn tỷ đồng đóng góp từ các doanh nghiệp hàng đầu, đây là bảng vinh danh nộp ngân sách duy nhất phản ánh toàn diện mức độ đóng góp của doanh nghiệp trên mọi lĩnh vực kinh tế.
Với quy mô lớn hơn, mức nộp ngân sách tối thiểu để vào danh sách chung của VNTAX 200 cũng như các danh sách ngành liên quan ở mức tối thiểu 200 tỷ đồng trở lên. Danh sách công bố năm 2024 được thống kê theo số liệu thực nộp trong niên độ tài chính (12 tháng) kết thúc vào các thời điểm trong khoảng thời gian từ 30/6/2024 đến 31/3/2025.
Nếu như trong danh sách doanh nghiệp tư nhân chỉ có gần 50 doanh nghiệp nộp ngân sách trên 1.000 tỷ đồng thì ở VNTAX 200, hiện đã có 125 doanh nghiệp. Trong đó, có 17 công ty nộp trên 10.000 tỷ đồng – theo danh sách hiện đã thu thập được.
Tổng nộp ngân sách của 200 doanh nghiệp trong danh sách VNTAX200 đạt 794.000 tỷ đồng, tăng 109.000 tỷ so với danh sách năm ngoái.
Trong đó, Top 100 doanh nghiệp dẫn đầu nộp 723.000 tỷ đồng – gấp 3 lần so với mức nộp 244.000 tỷ đồng của Top 100 doanh nghiệp tư nhân nộp ngân sách lớn nhất thuộc danh sách PRIVATE 100. Cũng chỉ có 36 đại diện của khối tư nhân góp mặt trong số 100 doanh nghiệp lớn nhất của VNTAX 200.
Điều này cho thấy các doanh nghiệp nhà nước và doanh nghiệp FDI vẫn là những đơn vị có đóng góp rất lớn vào nguồn thu ngân sách.
Trong Top 200, nếu một tập đoàn có nhiều công ty mẹ - công ty con cùng đạt tiêu chuẩn thì chỉ duy nhất công ty mẹ được tính thứ hạng. Vì lý do này, nhiều doanh nghiệp có mức nộp lên đến cả nghìn tỷ hay chục nghìn tỷ như Vinhomes (công ty con của Vingroup) hay PVEP, BSR, PV GAS… (công ty con của PVN) không có thứ hạng mà sẽ được đặt cạnh công ty mẹ.
Trong Top 10 bao gồm 4 tập đoàn nhà nước (PVN, Viettel, Petrolimex và Vinacomin), 4 doanh nghiệp FDI (Heineken, NSRP, Toyota và Vietsovpetro) cùng 2 doanh nghiệp tư nhân là Vingroup và THACO. Tất cả các đại diện trong Top 10 đều có mức nộp ngân sách trên 20.000 tỷ đồng.
Tổng cộng, chỉ riêng 10 doanh nghiệp dẫn đầu đã nộp 362.000 tỷ đồng, chiếm 45% tổng nộp của Top 200 doanh nghiệp.
Nếu như năm ngoái cả 3 vị trí dẫn đầu đều là các tập đoàn nhà nước thì năm nay Vingroup đã bứt phá ngoạn mục lên vị trí thứ 2, chỉ sau tập đoàn Công nghiệp – Năng lượng quốc gia Việt Nam (PetroVietnam).
Mức nộp của Vingroup đã tăng gần 25.300 tỷ so với năm 2023 lên 56.200 tỷ đồng. Trong đó, Vinhomes (bao gồm số nộp từ dự án Vinhomes Global Gate) - công ty thành viên của Vingroup trong lĩnh vực phát triển bất động sản - đã nộp 40.100 tỷ đồng trong năm ngoái.
Dù không duy trì mức nộp lớn như 2 năm trước nhưng PetroVietnam vẫn tiếp tục là đơn vị đóng góp lớn nhất vào ngân sách với 77.400 tỷ đồng. Mức nộp của PetroVietnam thậm chí còn lớn hơn tổng mức nộp của 100 doanh nghiệp có thứ hạng từ 101 đến 200.
Đây là số nộp của PetroVietnam và các công ty con. Còn nếu tính toàn bộ cả các công ty có liên quan thì tổng mức nộp của cả hệ thống PetroVietnam lên đến 165.000 tỷ đồng.
Các vị trí từ thứ 11-20 có một số cái tên đáng chú ý như EVN, Vinataba, TC Group, Hòa Phát, Sabeco, Vietcombank, Agribank…
Ngành dầu khí – xăng dầu: có tới 4 đại diện trong Top 10, bao gồm PetroVietnam cùng 2 đơn vị liên doanh Lọc hóa dầu Nghi Sơn (NSRP), Vietsovpetro và Tập đoàn Xăng dầu Việt Nam (Petrolimex).
Các doanh nghiệp hàng đầu lĩnh vực ô tô, bia rượu vẫn luôn là những đơn vị nộp ngân sách lớn từ nhiều năm nay.
Ngành ngân hàng: nhóm Big4 ngân hàng quốc doanh vẫn là những đơn vị nộp ngân sách lớn nhất tuy vậy khoảng cách với những ngân hàng tư nhân top đầu là không nhiều.Năm ngoái, Agribank nộp ngân sách xấp xỉ 9.000 tỷ đồng, tăng gần 80% so với năm 2023, qua đó là đơn vị có tốc độ tăng trưởng nộp ngân sách lớn nhất trong khối quốc doanh.
Ở nhóm ngân hàng tư nhân, một số đơn vị như LPBank, SHB, TPBank cũng đang vươn lên trở thành những đơn vị có mức nộp ngân sách lớn trong ngành. Đặc biệt, LPBank đã ghi dấu ấn với mức nộp ngân sách cao và ổn định, đóng góp tích cực vào ngân sách nhà nước nhờ chiến lược kinh doanh bền vững và hiệu quả.
Năm 2024, lợi nhuận của LPBank và SHB đều bứt phá, đạt lần lượt là gần 12.200 tỷ và 11.500 tỷ đồng – lần đầu vượt qua cột mốc 10.000 tỷ đồng. Nửa đầu 2025, lợi nhuận của SHB tiếp tục tăng 30% lên 8.900 tỷ đồng.
Trong lĩnh vực tài chính, bên cạnh ngân hàng thì bảo hiểm và chứng khoán cũng là những lĩnh vực có tốc độ tăng trưởng nộp ngân sách lớn.
Trong số các doanh nghiệp bảo hiểm nhân thọ top đầu ở trên thị trường, AIA Việt Nam, một thành viên của Tập đoàn AIA, là một trong những doanh nghiệp có tiềm lực tài chính mạnh nhất và hoạt động kinh doanh ổn định, đều đặn nộp ngân sách lớn. Trong 2 năm gần nhất, AIA đều nộp ngân sách nhà nước hơn 600 tỷ đồng mỗi năm.
Lĩnh vực công nghệ - viễn thông, bên cạnh những tập đoàn nhà nước như Viettel, VNPT thì các doanh nghiệp tư nhân như FPT, VNG Group hay MoMo cũng đang vươn mình mạnh mẽ để mở rộng hoạt động kinh doanh, qua đó cũng ngày càng đóng góp nhiều hơn vào ngân sách.
Bên cạnh VNG Group tiên phong với chiến lược AI mang tầm quốc tế, MoMo được đánh giá là một đại diện nổi bật với vai trò là nền tảng fintech dẫn đầu thị trường, thúc đẩy thói quen thanh toán không tiền mặt, ứng dụng AI vào tài chính và đồng hành cùng sứ mệnh bình dân hóa dịch vụ tài chính, hỗ trợ ổn định hệ thống tài chính, góp phần vào tiến trình chuyển đổi số quốc gia.
Bất động sản – xây dựng là ngành lớn hiếm hoi mà các doanh nghiệp tư nhân có mức nộp ngân sách áp đảo so với khối doanh nghiệp nhà nước hay FDI. Trong số gần 20 đơn vị có mức nộp trên 1.000 tỷ đồng chỉ có 2 đại diện của doanh nghiệp nhà nước và 1 doanh nghiệp FDI.
Với vị thế là một trong những đơn vị đứng đầu ngành xây dựng, Công ty Cổ phần Xây dựng Coteccons cũng đã nộp ngân sách gần 300 tỷ đồng trong năm tài chính kết thúc ngày 30/6/2024.
Theo kết quả kinh doanh quý IV năm tài chính 2025 vừa được công bố mới đây, Coteccons đã ghi nhận kết quả kinh doanh ấn tượng với doanh thu thuần quý IV đạt gần 8.351 tỷ đồng và lợi nhuận sau thuế quý IV năm tài chính 2025 đạt 196 tỷ đồng, gấp 2,8 lần cùng kỳ năm trước. Lũy kế cả năm ước đạt 454 tỷ đồng, tăng 46,6% so với năm trước. Cùng với sự tăng trưởng của hoạt động kinh doanh, mức nộp ngân sách của Coteccons cũng đã tăng hơn 30% lên gần 400 tỷ đồng.
CafeF Lists 2025 đánh dấu sự trở lại với 2 bảng vinh danh uy tín:
PRIVATE 100 – Top doanh nghiệp tư nhân nộp ngân sách từ 100 tỷ đồng trở lên
VNTAX 200 – Top doanh nghiệp có mức nộp ngân sách trong năm tài chính từ 200 tỷ đồng trở lên
Đây là danh sách được CafeF thu thập từ những nguồn công khai hoặc các số liệu có thể xác thực, phản ánh toàn bộ số thực nộp ngân sách của doanh nghiệp, bao gồm các khoản thuế, phí, các khoản phải nộp. Việc tổng hợp dữ liệu công khai, chính xác, minh bạch không chỉ ghi nhận đóng góp tài chính của các doanh nghiệp mà còn lan tỏa tinh thần trách nhiệm xã hội, khẳng định vị thế của doanh nghiệp trong nền kinh tế.
Một số doanh nghiệp tiêu biểu trong danh sách năm 2025, thể hiện số thực nộp của năm tài chính 2024, có thể kể đến như Agribank; ACB; AIA; BIM Group; Coteccons; HDBank; LPBank; LOF; Masan Group; MoMo; OCB; PNJ; SHB; Tasco; Tập đoàn DOJI; Tập đoàn Nam Long; Tập đoàn Hoa Sen; TCBS; Techcombank; TPBank; Vingroup; VPBank; Vinamilk; VNG Group; VPS; VIMID"
2025-08-21 08:52:00,Sabeco vẫn quyết tâm tăng 32% công suất nhà máy bia Củ Chi lên 350 triệu lít/năm sau nhiều lần bị từ chối từ 2019,https://cafef.vn/sabeco-van-quyet-tam-tang-32-cong-suat-nha-may-bia-cu-chi-len-350-trieu-litnam-sau-nhieu-lan-bi-tu-choi-tu-2019-188250821085231616.chn,"Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn (Sabeco, HoSE: SAB) đang xin ý kiến đánh giá tác động môi trường (ĐTM) dự án nâng công suất Nhà máy bia Sài Gòn – Củ Chi (tại TPHCM) từ 264 triệu lít/năm lên 350 triệu lít/năm và xây dựng nhà xưởng cho thuê sản xuất. Đây là nhà máy được thiết kế xây dựng từ 2002.
Theo Sabeco, dự án nâng công suất nhà máy bia có tổng vốn đầu tư là 855 tỷ đồng.
Nhà máy bia Sài Gòn-Củ Chi có công suất thiết kế ban đầu là 200 triệu lít/năm và có thể mở rộng thành 800 triệu lít/năm. Nhà máy hoàn thành xây dựng vào năm 2007 với công suất 100 triệu lít/năm, sau đó được nâng công suất lên 264 triệu lít vào năm 2011. Năm 2019, Sabeco quyết định đầu tư nâng công suất nhà máy lên 350 triệu lít/năm.
Tuy nhiên, việc này gặp nhiều khó khăn. Báo ﻿cáo ĐTM năm 2020 không được phê duyệt (có 8/8 phiếu đánh giá thông qua nhưng cần chỉnh sửa bổ sung). Sau đó, vì tình hình dịch Covid-19 phức tạp, Sabeco tạm dừng dự án.
Tháng 9-10/2023, Sabeco nộp báo cáo ĐTM ﻿một lần nữa và Bộ Tài Nguyên và Môi Trường (nay là Bộ Nông nghiệp và Môi trường) đề nghị nghiên cứu chỉnh sửa bổ sung.
Tiếp tục tới tháng 5-6/2025, ﻿Bộ Nông nghiệp và Môi trường một lần nữa không thông qua báo cáo ĐTM và đề nghị chỉnh sửa bổ sung (3/8 phiếu không thông qua).
Nhà máy bia Củ Chi có quy mô 50,1 hecta. Công suất năm hiện tại 264 triệu lít gồm 117,9 triệu lít cho bia chai và 146,1 triệu lít cho bia lon. Công suất được nâng lên 350 triệu lít gồm 100 triệu lít bia chai và 250 triệu lít bia lon.
Dự án cũng có thêm phần thuê nhà xưởng để sản xuất bao bì, với đơn vị thuê là Chi nhánh CTCP Bao bì bia Sài Gòn-Nhà máy bao bì Bình Dương.
Thực tế, nhà ﻿máy bia Củ Chi của Sabeco chưa hoạt động đến hết công suất. Báo cáo của doanh nghiệp cho thấy sản lượng đạt 179,2 triệu lít năm 2023, giảm còn 166,7 triệu lít năm 2024, và dự kiến năm 2025 sẽ tăng lên 211 triệu lít.
Về tiến độ, dự án của Sabeco dự kiến trình cấp thẩm quyền phê duyệt vào quý 4/2025 và triển khai dự án trong quý 4/2025-quý 1/2027, với mục tiêu bàn giao và quyết toán dự án vào quý 4/2026-quý 1/2027."
2025-08-19 07:15:00,Những ‘đại gia’ đem tiền mặt đi trả hết nợ vẫn còn hơn chục nghìn tỷ,https://cafef.vn/nhung-dai-gia-dem-tien-mat-di-tra-het-no-van-con-hon-chuc-nghin-ty-188250819071520593.chn,"Theo thông tin trên báo cáo tài chính quý 2/2025 của các doanh nghiệp trên sàn chứng khoán Việt Nam, tại thời điểm 30/06/2025, có 10 doanh nghiệp nắm giữ lượng tiền, tương đương tiền và tiền gửi ngắn hạn trên 1 tỷ USD.
Top 5 doanh nghiệp đứng đầu bao gồm Tập đoàn Bảo Việt (BVH), Tập đoàn Vingroup (VIC), Công ty Cổ phần Vinhomes (VHM), Lọc hóa Dầu Bình Sơn (BSR) và Tổng công ty Cổ phần Đầu tư Quốc tế Viettel (VGI). Trong đó, VGI sở hữu hơn 41.000 tỷ tiền, chiếm tới hơn 60% tổng tài sản.
Trong giai đoạn các kênh huy động vốn đang gặp khó khăn, những doanh nghiệp nắm nhiều tiền mặt được đánh giá là doanh nghiệp có lợi thế hơn cả. Tuy nhiên, doanh nghiệp có “sức mạnh” thực sự nên được đo lường bằng con số chênh lệch giữa tiền và nợ phải trả (tiền ròng), thể hiện cho việc doanh nghiệp có đủ tiền để trả cho tất cả các khoản nợ hiện hữu của mình hay không.
Theo đó, đứng đầu danh sách doanh nghiệp đang sở hữu số tiền thừa để trả nợ là Tổng Công ty Khí Việt Nam - PV Gas (GAS). Dù trả hết mọi khoản nợ với các bên, GAS vẫn còn 21.247 tỷ đồng
Các ông lớn nhiều tiền xếp sau đó Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam - VEAM (VEA), Lọc hóa dầu Bình Sơn (BSR), Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel - Viettel Global (VGI) và Sabeco (SAB). Trả hết nợ, các doanh nghiệp này vẫn còn hơn 10.000 tỷ đồng tiền.
Trong top các doanh nghiệp nhiều tiền có sự xuất hiện của 4 cái tên không có cổ phần của nhà nước là Sabeco, Hóa chất Đức Giang, Vinamilk và QNS.
Nếu đem chia số tiền ròng của các doanh nghiệp cho các cổ đông, mỗi cổ phần của DGC được hưởng tới 24.452 đồng trên mỗi cổ phần, cao nhất trong 10 doanh nghiệp trên. Sau đó là Đạm Phú Mỹ với 13.448 đồng/cp và VEAM với 11.587 đồng/cp."
2025-07-31 00:00:00,SAB: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,https://cafef.vn/du-lieu/SAB-2294590/sab-bao-cao-tinh-hinh-quan-tri-6-thang-dau-nam-2025.chn,
